Epoch	Train_Loss	Val_Loss	OA	AA	Kappa
1	2.7718	2.7947	0.38	6.25	-1.04
2	2.7513	2.7409	17.38	6.91	2.31
3	2.7153	2.6786	35.87	12.12	17.75
4	2.6876	2.6446	36.13	12.25	18.32
5	2.6580	2.6193	35.93	12.15	17.86
6	2.6476	2.5936	36.13	12.25	18.33
7	2.6223	2.5686	36.23	12.30	18.62
8	2.6026	2.5423	38.06	14.87	21.25
9	2.5883	2.5179	38.12	14.72	21.68
10	2.5671	2.4888	40.93	17.87	25.80
11	2.5356	2.4553	41.89	18.98	27.05
12	2.5076	2.4220	43.82	20.11	29.83
13	2.4988	2.3912	43.99	20.00	30.19
14	2.4845	2.3512	44.00	20.54	29.91
15	2.4466	2.3152	45.05	21.19	31.65
16	2.3978	2.2664	46.99	22.87	34.19
17	2.3866	2.2191	48.34	23.92	35.99
18	2.3374	2.1697	48.24	23.73	35.85
19	2.3183	2.1333	45.37	22.69	31.88
20	2.2687	2.1097	49.24	24.85	37.01
21	2.2583	2.0282	49.70	25.40	38.09
22	2.2289	2.0007	49.47	25.51	37.40
23	2.1479	1.9388	49.19	25.89	37.41
24	2.1298	1.8709	58.26	31.43	49.85
25	2.1159	1.8301	53.70	29.58	43.57
26	2.1016	1.8208	49.51	28.29	37.91
27	2.0624	1.8276	57.61	32.99	49.51
28	2.0490	1.7488	50.71	27.57	39.40
29	1.9690	1.6702	56.35	33.37	47.26
30	1.9002	1.6199	62.89	40.20	55.91
31	2.0634	1.6035	60.48	32.41	52.70
32	2.0161	1.5759	60.03	36.61	51.85
33	1.9253	1.5592	59.71	37.38	51.79
34	1.9220	1.5492	57.71	35.16	48.59
35	1.8034	1.5064	58.43	37.45	49.68
36	1.9072	1.4643	58.04	36.35	49.11
37	1.8837	1.3759	65.77	41.23	59.25
38	1.8007	1.3541	62.50	40.61	54.91
39	1.8100	1.2933	70.77	47.04	65.42
40	1.7583	1.2254	78.04	51.84	74.44
41	1.8189	1.2326	71.53	43.72	66.48
42	1.6451	1.2423	68.90	43.37	63.08
43	1.7003	1.1105	81.12	51.27	78.19
44	1.5541	1.0785	79.94	56.37	76.66
45	1.8230	1.1286	79.05	52.64	75.73
46	1.5547	1.1186	70.58	46.74	65.12
47	1.5587	1.0014	86.41	64.86	84.44
48	1.6328	0.9096	86.74	58.37	84.76
49	1.6450	1.0514	78.09	56.47	74.72
50	1.5461	1.0013	79.73	57.95	76.42
51	1.5588	0.9418	80.55	57.08	77.69
52	1.5445	0.9164	80.76	56.76	77.60
53	1.6622	0.8930	85.19	59.79	82.88
54	1.3741	0.8218	88.46	64.56	86.84
55	1.5034	0.7575	90.56	64.33	89.18
56	1.3950	0.7540	89.65	64.37	88.09
57	1.6335	0.7199	90.56	65.21	89.23
58	1.5063	0.7601	87.44	64.62	85.73
59	1.5909	0.7005	89.52	63.91	87.94
60	1.4101	0.6619	91.68	65.32	90.45
61	1.3349	0.6420	91.55	65.26	90.31
62	1.4088	0.6640	90.68	67.98	89.30
63	1.2483	0.6006	92.14	68.94	91.03
64	1.5208	0.6127	91.62	66.96	90.42
65	1.3218	0.7978	80.37	63.24	77.85
66	1.4406	0.5579	93.82	70.22	92.93
67	1.2043	0.5375	94.32	72.51	93.50
68	1.3093	0.5268	93.54	67.53	92.60
69	1.2766	0.5111	94.31	70.54	93.48
70	1.2437	0.5085	94.33	71.22	93.50
71	1.1227	0.4832	94.04	70.55	93.19
72	1.5301	0.6411	87.48	68.23	85.56
73	1.2310	0.5285	92.39	72.29	91.35
74	1.2030	0.5008	94.13	73.75	93.30
75	1.2468	0.4562	94.33	71.90	93.53
76	1.1906	0.4394	95.28	73.90	94.61
77	1.3032	0.4488	94.87	73.29	94.14
78	1.2284	0.4542	95.32	75.13	94.66
79	1.3111	0.4488	94.55	74.64	93.77
80	1.2289	0.4568	94.05	71.54	93.21
81	1.1970	0.4302	95.30	75.46	94.63
82	1.3237	0.4184	95.70	76.00	95.08
83	1.0753	0.4697	92.32	73.02	91.28
84	1.4160	0.4046	95.92	75.67	95.34
85	1.0832	0.3803	96.73	76.10	96.26
86	1.1582	0.4000	96.18	75.79	95.64
87	1.0775	0.4455	92.70	75.66	91.68
88	1.1499	0.3901	94.39	75.84	93.60
89	1.1876	0.4904	90.41	75.24	89.14
90	1.3114	0.3929	96.21	76.89	95.67
91	1.2394	0.4048	94.60	73.64	93.83
92	1.4251	0.3761	96.90	78.25	96.46
93	1.2797	0.3767	96.54	76.77	96.05
94	1.3869	0.4585	92.92	75.07	91.88
95	1.0279	0.3477	96.57	76.98	96.08
96	1.3770	0.3433	96.82	78.14	96.37
97	1.2683	0.4063	94.74	74.26	94.00
98	1.1155	0.3549	96.92	78.73	96.49
99	1.0846	0.3535	96.80	76.44	96.34
100	1.0845	0.3441	96.41	77.62	95.89
101	1.1583	0.3094	97.15	77.36	96.75
102	1.1211	0.3074	97.26	77.51	96.87
103	1.1305	0.3314	97.19	82.39	96.79
104	1.2136	0.3427	96.60	78.58	96.12
105	1.4408	0.3601	95.68	74.49	95.07
106	1.1149	0.3210	97.82	82.71	97.51
107	1.1375	0.3107	97.83	81.10	97.52
108	1.1130	0.3214	97.13	79.42	96.72
109	1.1982	0.3686	96.82	79.86	96.37
110	1.2825	0.3101	97.42	79.86	97.05
111	1.1514	0.3154	96.82	79.11	96.36
112	1.2543	0.2988	97.52	80.26	97.17
113	1.1878	0.3231	96.60	78.72	96.12
114	1.0950	0.3351	96.05	80.16	95.50
115	1.4426	0.3385	96.92	79.82	96.49
116	1.2003	0.3227	97.29	81.29	96.91
117	1.1706	0.3056	97.29	81.59	96.91
118	1.3671	0.3116	97.72	82.63	97.39
119	1.2083	0.3224	96.84	81.22	96.39
120	1.0677	0.3937	93.53	81.90	92.57
121	1.2859	0.4457	91.88	75.82	90.74
122	1.2455	0.3126	97.66	82.89	97.33
123	1.3377	0.2918	97.51	78.82	97.15
124	1.2455	0.2977	97.18	79.68	96.77
125	1.2322	0.3010	97.59	82.49	97.25
126	1.2674	0.3126	97.69	81.03	97.36
127	1.2561	0.3523	95.58	79.10	94.96
128	1.3649	0.3118	97.45	78.74	97.09
129	1.3198	0.3149	97.43	83.63	97.06
130	1.1527	0.2971	97.68	83.53	97.35
131	1.0471	0.2927	97.62	84.45	97.29
132	1.1257	0.2807	98.03	84.30	97.75
133	1.2104	0.2750	98.07	83.94	97.80
134	1.0449	0.2686	97.86	84.50	97.56
135	1.3459	0.2908	98.01	84.08	97.73
136	1.1459	0.3331	96.17	83.60	95.62
137	1.0699	0.2730	98.39	84.98	98.17
138	1.1966	0.2839	98.06	85.34	97.78
139	1.2088	0.2900	97.83	84.82	97.52
140	1.1922	0.3407	96.34	83.47	95.82
141	1.3819	0.2853	98.30	84.94	98.06
142	1.2130	0.2798	98.38	84.89	98.15
143	1.1722	0.3169	96.17	83.54	95.63
144	1.2649	0.3534	95.63	83.04	94.99
145	1.0818	0.3040	97.78	85.39	97.47
146	1.0912	0.2746	97.88	84.81	97.57
147	1.0773	0.2783	97.74	84.86	97.42
148	1.2646	0.3182	96.01	83.95	95.45
149	1.1845	0.2879	97.35	83.30	96.97
150	1.2882	0.3003	97.52	85.00	97.16
151	1.0938	0.2927	96.67	83.28	96.20
152	1.1076	0.2792	97.19	82.91	96.79
153	1.2266	0.2649	98.30	85.26	98.06
154	1.0955	0.2551	98.44	85.40	98.22
155	1.1550	0.2454	98.26	84.55	98.01
156	1.0615	0.2467	98.07	84.17	97.80
157	1.2285	0.2617	98.07	85.57	97.80
158	1.0582	0.2626	98.30	85.75	98.06
159	1.2075	0.2742	97.33	83.88	96.95
160	1.2572	0.2659	97.80	85.26	97.48
161	1.2208	0.2635	98.31	85.71	98.07
162	1.1635	0.2554	98.01	85.51	97.73
163	1.1324	0.2510	98.26	84.60	98.01
164	1.2144	0.2592	98.48	84.98	98.27
165	1.2257	0.2605	98.19	85.52	97.93
166	1.2218	0.2462	98.39	84.62	98.17
167	1.0371	0.2622	98.23	86.44	97.98
168	1.2698	0.3102	97.29	84.60	96.91
169	1.1231	0.2851	97.53	84.84	97.18
170	1.0097	0.2297	98.30	85.38	98.06
171	1.0768	0.2287	98.21	85.53	97.96
172	1.1380	0.2397	98.44	85.80	98.22
173	1.1784	0.2518	98.43	85.74	98.20
174	1.3115	0.2695	98.15	85.70	97.89
175	1.2616	0.2874	98.08	85.84	97.81
176	1.0534	0.2325	98.46	85.70	98.24
177	1.1106	0.2398	98.32	85.78	98.09
178	1.3375	0.2389	98.68	86.49	98.49
179	1.1141	0.2495	98.14	85.92	97.88
180	1.1887	0.2565	98.31	85.33	98.07
181	0.7391	0.2313	98.24	85.72	97.99
182	1.0933	0.2163	98.39	85.13	98.17
183	1.1148	0.2380	98.26	85.39	98.01
184	1.0507	0.2350	98.23	85.48	97.98
185	1.0465	0.2347	98.29	85.49	98.05
186	1.0303	0.2297	98.11	85.87	97.84
